,Experiment,Date,Microbiome,Food,Cage,Mouse,Weight,Temperature,Glucose,ALT,Triglycerides,Insulin,Gender,Notes,,,
1,3,8/16/18,Lab,Fat,1,1,23.73,36.3,154,,,,Female,,,,
2,3,8/16/18,Lab,Fat,1,2,23.85,37.5,214,,,,Female,,,,
3,3,8/16/18,Lab,Fat,1,3,19.58,36.8,192,,,,Female,,,,
4,3,8/16/18,Lab,Fat,1,4,24.98,37.1,182,,,,Female,,,,
5,3,8/16/18,Lab,Fat,1,5,23.33,36.8,171,,,,Female,,,,
6,3,8/16/18,Lab,Fat,2,1,20.82,37.3,175,,,,Female,,,,
7,3,8/16/18,Lab,Fat,2,2,21.62,37.7,181,,,,Female,,,,
8,3,8/16/18,Lab,Fat,2,3,21.38,37.4,171,,,,Female,,,,
9,3,8/16/18,Lab,Fat,2,4,24.27,36.8,184,,,,Female,,,,
10,3,8/16/18,Lab,Fat,2,5,29.19,37,238,,,,Female,,,,
11,3,8/16/18,Lab,Fat,3,1,23.78,37.4,182,,,,Female,,,,
12,3,8/16/18,Lab,Fat,3,2,21.48,37.1,210,,,,Female,,,,
13,3,8/16/18,Lab,Fat,3,3,24.28,37.3,212,,,,Female,,,,
14,3,8/16/18,Lab,Fat,3,4,21.26,36.9,180,,,,Female,,,,
15,3,8/16/18,Lab,Fat,3,5,23.15,37.2,219,,,,Female,,,,
16,3,8/16/18,Lab,Fat,4,1,22.2,36.9,166,,,,Female,,,,
17,3,8/16/18,Lab,Fat,4,2,23.85,37.1,178,,,,Female,,,,
18,3,8/16/18,Lab,Fat,4,3,21.92,36.9,130,,,,Female,,,,
19,3,8/16/18,Lab,Fat,4,4,20.32,37.3,174,,,,Female,,,,
20,3,8/16/18,Lab,Fat,4,5,22.68,36.8,191,,,,Female,,,,
21,3,8/16/18,Lab,Chow,1,1,21.56,38,180,,,,Female,,,,
22,3,8/16/18,Lab,Chow,1,2,19.77,36.5,151,,,,Female,,,,
23,3,8/16/18,Lab,Chow,1,3,20.27,37.3,159,,,,Female,,,,
24,3,8/16/18,Lab,Chow,1,4,19.09,37.4,174,,,,Female,,,,
25,3,8/16/18,Lab,Chow,1,5,21.47,37.7,184,,,,Female,,,,
26,3,8/16/18,Lab,Chow,2,1,19.66,36.7,134,,,,Female,,,,
27,3,8/16/18,Lab,Chow,2,2,22.08,36.9,156,,,,Female,,,,
28,3,8/16/18,Lab,Chow,2,3,19.52,36.7,178,,,,Female,,,,
29,3,8/16/18,Lab,Chow,2,4,19.23,37.7,167,,,,Female,,,,
30,3,8/16/18,Lab,Chow,2,5,24.59,36.9,174,,,,Female,,,,
31,3,8/16/18,Lab,Chow,3,1,20.35,37.2,149,,,,Female,,,,
32,3,8/16/18,Lab,Chow,3,2,19.98,36,144,,,,Female,,,,
33,3,8/16/18,Lab,Chow,3,3,18.34,36.4,132,,,,Female,,,,
34,3,8/16/18,Lab,Chow,3,4,20.81,36.3,135,,,,Female,,,,
35,3,8/16/18,Lab,Chow,3,5,21.49,37.4,157,,,,Female,,,,
1,3,8/8/18,Lab,Fat,1,1,20.26,,121,,,,Female,,,,
2,3,8/8/18,Lab,Fat,1,2,19.98,,180,,,,Female,,,,
3,3,8/8/18,Lab,Fat,1,3,17.8,,144,,,,Female,,,,
4,3,8/8/18,Lab,Fat,1,4,21.9,,199,,,,Female,,,,
5,3,8/8/18,Lab,Fat,1,5,22,,130,,,,Female,,,,
6,3,8/8/18,Lab,Fat,2,1,20.08,,168,,,,Female,,,,
7,3,8/8/18,Lab,Fat,2,2,19.45,,174,,,,Female,,,,
8,3,8/8/18,Lab,Fat,2,3,19.26,,144,,,,Female,,,,
9,3,8/8/18,Lab,Fat,2,4,21.16,,129,,,,Female,,,,
10,3,8/8/18,Lab,Fat,2,5,23.56,,185,,,,Female,,,,
11,3,8/8/18,Lab,Fat,3,1,19.39,,162,,,,Female,,,,
12,3,8/8/18,Lab,Fat,3,2,19.32,,180,,,,Female,,,,
13,3,8/8/18,Lab,Fat,3,3,20.4,,173,,,,Female,,,,
14,3,8/8/18,Lab,Fat,3,4,19.28,,149,,,,Female,,,,
15,3,8/8/18,Lab,Fat,3,5,19.99,,140,,,,Female,,,,
16,3,8/8/18,Lab,Fat,4,1,18.74,,137,,,,Female,,,,
17,3,8/8/18,Lab,Fat,4,2,20.96,,188,,,,Female,,,,
18,3,8/8/18,Lab,Fat,4,3,19.06,,151,,,,Female,,,,
19,3,8/8/18,Lab,Fat,4,4,18.86,,160,,,,Female,,,,
20,3,8/8/18,Lab,Fat,4,5,20.08,,161,,,,Female,,,,
21,3,8/8/18,Lab,Chow,1,1,20.2,,163,,,,Female,,,,
22,3,8/8/18,Lab,Chow,1,2,18.53,,149,,,,Female,,,,
23,3,8/8/18,Lab,Chow,1,3,18.93,,140,,,,Female,,,,
24,3,8/8/18,Lab,Chow,1,4,18,,105,,,,Female,,,,
25,3,8/8/18,Lab,Chow,1,5,20.08,,167,,,,Female,,,,
26,3,8/8/18,Lab,Chow,2,1,18.88,,172,,,,Female,,,,
27,3,8/8/18,Lab,Chow,2,2,20.68,,130,,,,Female,,,,
28,3,8/8/18,Lab,Chow,2,3,18.89,,144,,,,Female,,,,
29,3,8/8/18,Lab,Chow,2,4,18.68,,179,,,,Female,,,,
30,3,8/8/18,Lab,Chow,2,5,22.78,,169,,,,Female,,,,
31,3,8/8/18,Lab,Chow,3,1,20.07,,131,,,,Female,,,,
32,3,8/8/18,Lab,Chow,3,2,18.35,,147,,,,Female,,,,
33,3,8/8/18,Lab,Chow,3,3,17.77,,160,,,,Female,,,,
